"ID","OutputTypeAdoption"
1,0
2,0
3,0
4,0
5,0
6,NA
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,NA
18,NA
19,NA
20,NA
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,NA
30,0
31,NA
32,0
33,1
34,0
35,0
36,0
37,NA
38,0
39,NA
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,NA
48,0
49,NA
50,0
51,0
52,1
53,0
54,0
55,NA
56,1
57,0
58,1
59,1
60,0
61,1
62,NA
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,0
78,NA
79,NA
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,0
88,0
89,1
90,0
91,1
92,NA
93,0
94,NA
95,1
96,0
97,NA
98,1
99,0
100,NA
101,0
102,0
103,0
104,0
105,0
106,0
107,NA
108,NA
109,0
110,NA
111,NA
112,0
113,1
114,NA
115,1
116,0
117,0
118,NA
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,NA
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,0
146,NA
147,1
148,1
149,1
150,0
151,NA
152,1
153,0
154,0
155,1
156,0
157,NA
158,1
159,NA
160,0
161,0
162,0
163,1
164,0
165,NA
166,0
167,0
168,0
169,0
170,0
171,NA
172,0
173,NA
174,NA
175,0
176,0
177,1
178,0
179,NA
180,1
181,1
182,0
183,0
184,0
185,NA
186,NA
187,1
188,0
189,0
190,0
191,NA
192,NA
193,0
194,1
195,0
196,0
197,0
198,0
199,NA
200,0
201,1
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,0
211,1
212,1
213,NA
214,1
215,1
216,NA
217,1
218,0
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,1
231,0
232,0
233,1
234,NA
235,NA
236,0
237,NA
238,1
239,0
240,1
241,1
242,1
243,1
244,NA
245,0
246,1
247,0
248,0
249,NA
250,0
251,1
252,NA
253,1
254,NA
255,1
256,0
257,NA
258,0
259,1
260,1
261,0
262,0
263,0
264,0
